19, 19, 23.5, 25, 28, 30, 30.5, 30, 30, 27, 24, 18, 
17, 18, 22, 26, 28, 32.5, 29.5, 32, 30, 28.5, 24, 20, 
18, 17, 21, 25.5, 30, 30, 30, 30, 29, 28.5, 24.5, 20, 
19, 20.5, 22.5, 26, 29, 30.5, 28.5, 31, 31, 25.5, 22, 21, 
18, 19, 21.5, 26.5, 29, 29, 31, 29, 29, 26.5, 23, 21.5, 
18, 17.5, 23, 25, 28, 30, 28.5, 28.5, 28.5, 25.5, 23.5, 19, 
18, 19.5, 23, 26, 30, 31, 31, 30, 30, 29, 23.5, 18, 
18.5, 19.5, 24, 24, 28, 30, 30.5, 30, 30, 26.5, 25, 21, 
18, 18, 23.5, 25, 28, 29, 30, 31, 29, 26.5, 25.5, 20, 
18, 17.5, 20.5, 26, 30, 31, 29, 31.5, 29.5, 28.5, 23, 19, 
20, 19.5, 23, 25, 29, 30, 29, 29, 29, 27, 22, 19, 
19, 19, 23.5, 25, 28, 30, 30.5, 30, 30, 27, 24, 18, 
18, 19, 21.5, 24.5, 29, 29, 30, 31, 29, 26, 22, 18, 
17, 17, 23, 25, 30.5, 31, 32, 32, 31, 27.5, 25, 19, 
17.5, 19.5, 23, 26, 30.5, 31, 30.5, 30.5, 28, 27.5, 21.5, 20.5, 
18, 17, 23, 25, 27, 29, 30, 30, 29.5, 26, 26.5, 19.5, 
18, 17, 21.5, 26, 31, 32, 28, 31, 29.5, 28, 22, 20, 
